"participantID","videoID","order","condition","comprehensionCheckQ1Correct","comprehensionCheckQ2Correct","accuracy","IRI_EC","IRI_PT","IRI_PD","LT_Empathy","SPS","SIAS","gender","age"
"40d47bce","116_5",1,"both",TRUE,TRUE,0.142368973697499,25,21,19,10,23,43,"F",35
"b2990de8","181_4",1,"both",TRUE,TRUE,0.588950778742039,18,17,8,12,5,6,"M",39
"73bb9aa5","137_6",1,"both",TRUE,TRUE,0.475913350273774,14,14,20,10,60,60,"F",22
"95e8f522","171_1",1,"both",FALSE,TRUE,0.0645996309448891,17,25,4,10,18,14,"F",42
"b29100e5","181_2",1,"both",TRUE,TRUE,-0.136518143271836,12,17,6,2,1,12,"F",25
"8e548c69","173_4",1,"both",TRUE,TRUE,0.684545430171146,4,26,0,12,22,49,"M",47
"8024894d","128_2",1,"both",TRUE,TRUE,0.941347972678445,25,19,10,12,49,25,"M",25
"c5c5421b","121_5",1,"both",TRUE,TRUE,0.275934826280333,24,20,3,12,10,13,"M",53
"9f4ce400","181_4",1,"both",TRUE,TRUE,0.503421260317885,19,9,28,8,19,9,"F",25
"19d1456b","174_2",1,"both",TRUE,TRUE,0.437478818957211,26,22,4,12,9,22,"F",41
"f75a8821","124_3",1,"both",TRUE,TRUE,0.588712911507497,25,26,6,11,17,19,"M",26
"2b25e8a8","171_1",1,"both",FALSE,TRUE,0.0739069196878598,28,28,8,12,0,4,"F",46
"8493608a","174_3",1,"both",TRUE,FALSE,0.50815429175134,28,28,12,12,12,7,"F",45
"72efe0fb","129_2",1,"both",TRUE,TRUE,0.437534338945111,22,22,0,12,1,5,"M",36
"d8d9333f","129_2",1,"both",TRUE,TRUE,-0.359111228892883,21,25,11,9,21,42,"F",28
"2116a832","124_3",1,"both",TRUE,TRUE,0.514133060232544,28,23,6,12,8,12,"M",64
"bef34f2e","116_5",1,"both",FALSE,TRUE,-0.587003126534538,23,21,12,11,42,39,"F",24
"7536a743","181_2",1,"both",TRUE,TRUE,0.87856477200006,22,18,9,12,37,41,"F",30
"05503c64","147_5",1,"both",TRUE,TRUE,-0.179249736787483,8,17,0,9,9,6,"M",51
"66c0a55f","173_6",1,"both",TRUE,TRUE,0.885881117942785,26,22,5,10,18,35,"M",23
"42499473","120_1",1,"both",TRUE,TRUE,0.772933922743882,24,28,12,10,3,5,"F",20
"6541d640","171_1",1,"both",TRUE,TRUE,-0.433524788382114,27,24,5,17,18,54,"F",59
"e5e45555","181_2",1,"both",TRUE,TRUE,0.824731542875768,28,14,1,12,1,10,"F",69
"90d6728c","153_3",1,"both",TRUE,TRUE,0.504007333487629,1,15,6,12,3,25,"M",35
"aa298f02","181_4",1,"both",TRUE,TRUE,0.679874402013269,20,17,9,9,9,38,"F",28
"0f06079b","129_2",1,"both",TRUE,TRUE,-0.175122847022545,20,17,18,12,34,44,"M",38
"93b4d2ed","181_2",1,"both",TRUE,TRUE,0.723546929781086,28,28,7,12,21,23,"M",36
