"participantID","videoID","order","condition","accuracy","IRI_EC","IRI_PT","IRI_PD","gender","age"
"7c322b43","HID114_vid4",2,NA,NA,20,22,0,"F",36
"4cf25609","HID112_vid4",2,"audioOnly",-0.227595771795786,20,17,17,"F",27
"cd1ad467","HID107_vid4",2,"audioOnly",0.10269597796678,28,28,0,"M",27
"27225aa8","HID112_vid4",2,"audioOnly",0.071761457420547,22,20,23,"M",25
"a0863083","HID114_vid4",2,"audioOnly",0.677236315959794,12,18,5,"M",29
"28d84a76","HID107_vid4",2,"audioOnly",0.355172565909662,19,16,6,"M",30
"3531e364","HID114_vid4",2,"audioOnly",0.001106041073809,23,20,20,"F",28
"e770789b","HID107_vid4",2,"audioOnly",-0.744903171689803,23,17,16,"F",26
"2acf8a40","HID107_vid4",2,"audioOnly",-0.71212582494534,19,21,2,"M",38
"dc735050","HID114_vid4",2,"audioOnly",0.537311693011795,25,16,15,"M",39
"568926a2","HID112_vid4",2,NA,NA,20,20,21,"F",20
"7a099c94","HID114_vid4",2,"audioOnly",0.505864660610629,19,22,5,"M",34
"9e2e6e80","HID114_vid4",2,"audioOnly",0.0351162031497173,28,24,4,"M",42
"e3ac9612","HID112_vid4",2,"audioOnly",-0.106128384377901,24,23,6,"M",39
"f4961b63","HID107_vid4",2,"audioOnly",0.582290551691078,17,23,7,"M",64
"b3785a66","HID114_vid4",2,"audioOnly",0.551263618680232,15,13,12,"M",24
"dd3dad4d","HID107_vid4",2,"audioOnly",0.590711155826403,26,18,2,"M",52
"bfe28db2","HID112_vid4",2,"audioOnly",0.200116434494673,26,26,10,"F",29
"94c0a203","HID107_vid4",2,"audioOnly",-0.336591950564352,22,19,21,"F",24
"99013242","HID112_vid4",2,"audioOnly",0.0365300363337217,21,24,26,"M",34
"29cdd9f5","HID114_vid4",2,NA,NA,25,19,1,"M",217
"c929c27a","HID112_vid4",2,NA,NA,28,8,28,"F",37
"1ebd1611","HID112_vid4",2,"audioOnly",-0.64479731252672,17,16,16,"M",37
"99951d28","HID114_vid4",2,"audioOnly",0.44739706420319,28,28,14,"M",41
"b17092b4","HID114_vid4",2,NA,NA,14,17,18,"M",30
"ffb759ab","HID114_vid4",2,"audioOnly",0.0411587358548358,19,21,9,"M",39
"e5f266aa","HID112_vid4",2,"audioOnly",-0.51386806569474,25,28,8,"M",29
"7ac0a78e","HID112_vid4",2,"audioOnly",-0.206184655620924,23,22,26,"F",36
"43fe99d7","HID114_vid4",2,"audioOnly",0.116426136465056,18,10,4,"M",33
"653f3c0a","HID114_vid4",2,"audioOnly",0.284084052555607,19,18,14,"M",23
"8a0cf46d","HID114_vid4",2,NA,NA,25,21,12,"F",27
"ea373622","HID114_vid4",2,"audioOnly",0.653259579281241,6,12,2,"M",32
"27fd140c","HID107_vid4",2,"audioOnly",-0.0958504599311637,26,20,21,"F",24
"d2a87194","HID112_vid4",2,"audioOnly",0.398633222140657,28,28,21,"F",21
"b1685b43","HID107_vid4",2,NA,NA,22,25,3,"F",53
"f438f289","HID114_vid4",2,"audioOnly",-0.275381015179189,3,18,0,"M",29
"d7c10633","HID114_vid4",2,"audioOnly",0.463607343248194,26,25,8,"F",19
"34f2a92f","HID112_vid4",2,NA,NA,17,19,17,"M",36
"3ec80444","HID107_vid4",2,"audioOnly",0.0192570565117227,25,22,1,"F",36
"99084ac3","HID112_vid4",2,"audioOnly",-0.638603238187571,26,26,12,"F",38
"8a81d537","HID107_vid4",2,"audioOnly",0.608346042940062,24,23,23,"M",30
"5bca06cc","HID114_vid4",2,"audioOnly",0.386170282418832,1,20,0,"M",22
"5f2e05f9","HID107_vid4",2,"audioOnly",0.0857867216302608,24,28,2,"M",59
"2a6737f3","HID112_vid4",2,NA,NA,12,14,9,"M",29
"ab6f4e48","HID107_vid4",2,NA,NA,15,19,14,"M",19
"8a8cc89d","HID114_vid4",2,"audioOnly",0.401442770693981,26,13,10,"F",31
"6391ac76","HID120_vid8",2,"audioOnly",0.534740710081606,12,20,0,"M",36
"ed5e6b29","HID117_vid4",2,"audioOnly",0.331995542955828,21,20,22,"F",36
"7bf71250","HID120_vid8",2,"audioOnly",-0.0708589018846448,14,14,14,"F",25
